Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
F7,1.1638000011,0.1644999981,1.3128000498,1.233199954,1.1878000498,1.356400013,1.5829999447,1.3404999971,1.138800025,1.034700036,1.0750999451,1.1546000242,1.0274000168,0.9822999835,0.9790999889,1.0075000525,1.3640999794,1.285400033,1.0424000025,1.0233999491,0.9937999845,0.9796000123,1.168900013,1.0720000267,1.1447999477,1.1570999622,1.4498000145
G7,0.4469000101,0.3154000044,0.9570999742,0.3826999962,0.3930999935,0.6133000255,1.5056999922,0.6744999886,0.2924000025,0.2953999937,0.3368999958,0.2779000103,0.2412,0.3046000004,0.2885999978,0.2800000012,0.3542000055,0.5856999755,0.2675999999,0.2585999966,0.3079000115,0.2754000127,0.3118000031,0.2861000001,0.274300009,0.2748000026,1.1319999695
H7,1.0751999617,0.1502999961,1.1865999699,1.0069999695,0.9847000241,1.0328999758,1.4531999826,1.130499959,0.9635000229,1.0140000582,1.1303999424,0.9488000274,0.9897999763,1.2095999718,1.1345000267,0.924399972,1.0341999531,1.1089999676,0.9667999744,1.0683000088,1.1684999466,0.9301000237,0.9201999903,1.0102000237,0.9423000216,1.1096999645,1.5118000507
A8,0.7827000022,0.2973999977,1.34010005,1.152799964,1.0449999571,1.0598000288,1.470600009,1.0154999495,0.7048000097,0.7357000113,0.9124000072,0.9337999821,0.7347999811,0.7246999741,0.5379999876,0.5442000031,0.7257000208,0.6578000188,0.5278000236,0.3698999882,0.4792999923,0.516900003,0.480399996,0.3716000021,0.715200007,0.6600000262,1.1497000456
B8,1.6147999763,0.1447000057,1.6622999907,1.6302000284,1.6765999794,1.7118999958,1.8028999567,1.6416000128,1.5657999516,1.5338000059,1.5710999966,1.5815000534,1.5616999865,1.4571000338,1.4196000099,1.7108000517,1.7433999777,1.7508000135,1.9127999544,1.5310000181,1.4076999426,1.5464999676,1.6093000174,1.298699975,1.5068000555,1.6513999701,1.8842999935
C8,1.72239995,0.1074000001,1.8312000036,1.953099966,1.8465000391,1.7964999676,1.7460999489,1.8528000116,1.5831999779,1.6561000347,1.7224999666,1.7360999584,1.6993000507,1.6749000549,1.6116000414,1.4409999847,1.7627999783,1.736899972,1.6176999807,1.8219000101,1.7312999964,1.7503000498,1.7216999531,1.6937999725,1.5552999973,1.7699999809,1.7474000454
D8,1.4515999556,0.0966000035,1.4950000048,1.4990999699,1.4672000408,1.4370000362,1.5226999521,1.3964999914,1.3795000315,1.386500001,1.4747999907,1.6073999405,1.662899971,1.4477000237,1.3159999847,1.2920999527,1.3579000235,1.3777999878,1.3102999926,1.3521000147,1.4903000593,1.6075999737,1.5532000065,1.5189000368,1.492200017,1.4129999876,1.431499958
E8,1.4552999735,0.1187999994,1.7178000212,1.4889999628,1.3039000034,1.3838000298,1.5789999962,1.4562000036,1.310199976,1.2617000341,1.3859000206,1.4273999929,1.5576000214,1.462100029,1.4588999748,1.2546000481,1.3928999901,1.4817999601,1.4293999672,1.4938999414,1.3932000399,1.4112000465,1.3356000185,1.6042000055,1.5778000355,1.6137000322,1.6004999876
F8,1.5872000456,0.1356000006,1.679700017,1.6519999504,1.5683000088,1.4768999815,1.7486000061,1.3927999735,1.4149999619,1.4930000305,1.5196000338,1.7106000185,1.6377999783,1.5518000126,1.5414999723,1.4498000145,1.3625999689,1.4596999884,1.5851000547,1.7258000374,1.7488000393,1.5735000372,1.801699996,1.8329999447,1.7358000278,1.59739995,1.4200999737
G8,1.4450999498,0.1551000029,1.6071000099,1.4213000536,1.4042999744,1.5033999681,1.7269999981,1.6873999834,1.4363000393,1.2982000113,1.3890000582,1.3921999931,1.442800045,1.2189999819,1.2080999613,1.2762000561,1.7048000097,1.5728000402,1.2552000284,1.2749999762,1.3270000219,1.4299999475,1.4938999414,1.4185999632,1.4198000431,1.5015000105,1.7170000076
